trial_no,generation,evaluations_num,elapsed_secs,mean,stdev,best_fit,
5,0,10000,19,0.073603,0.085378,0.247380,
5,10,20000,42,0.073851,0.085562,0.253532,
5,20,30000,65,0.074153,0.085762,0.253532,
5,30,40000,88,0.074414,0.085964,0.253532,
5,40,50000,114,0.074737,0.086167,0.253532,
5,50,60000,137,0.075090,0.086361,0.253532,
5,60,70000,159,0.075373,0.086556,0.253532,
5,70,80000,182,0.075702,0.086752,0.253532,
5,80,90000,202,0.075994,0.086950,0.253532,
5,90,100000,222,0.076256,0.087130,0.253532,
5,100,110000,243,0.076574,0.087342,0.255241,
5,110,120000,263,0.076889,0.087528,0.255241,
5,120,130000,286,0.077207,0.087715,0.255241,
5,130,140000,305,0.077447,0.087859,0.255241,
5,140,150000,324,0.077765,0.088038,0.255241,
5,150,160000,348,0.078086,0.088234,0.255241,
5,160,170000,366,0.078365,0.088402,0.255241,
5,170,180000,394,0.078627,0.088592,0.255241,
5,180,190000,417,0.078924,0.088774,0.255241,
5,190,200000,441,0.079205,0.088955,0.255241,
5,200,210000,464,0.079543,0.089147,0.255241,
5,210,220000,489,0.079743,0.089294,0.255241,
5,220,230000,510,0.080073,0.089449,0.255241,
5,230,240000,530,0.080348,0.089601,0.255241,
5,240,250000,554,0.080669,0.089751,0.255241,
5,250,260000,578,0.081022,0.089916,0.255241,
5,260,270000,597,0.081282,0.090100,0.255241,
5,270,280000,621,0.081562,0.090249,0.277693,
5,280,290000,640,0.081834,0.090420,0.277693,
5,290,300000,666,0.082047,0.090570,0.277693,
5,300,310000,691,0.082317,0.090701,0.277693,
5,310,320000,714,0.082579,0.090854,0.277693,
5,320,330000,734,0.082934,0.091041,0.277693,
5,330,340000,755,0.083265,0.091206,0.277693,
5,340,350000,775,0.083675,0.091383,0.277693,
5,350,360000,794,0.083972,0.091528,0.277693,
5,360,370000,818,0.084317,0.091692,0.277693,
5,370,380000,841,0.084581,0.091855,0.302624,
5,380,390000,860,0.084922,0.092007,0.302624,
5,390,400000,880,0.085263,0.092150,0.302624,
5,400,410000,901,0.085607,0.092299,0.302624,
5,410,420000,925,0.085867,0.092440,0.302624,
5,420,430000,949,0.086182,0.092597,0.302624,
5,430,440000,967,0.086539,0.092736,0.302624,
5,440,450000,991,0.086818,0.092852,0.302624,
5,450,460000,1012,0.087053,0.092983,0.302624,
5,460,470000,1034,0.087384,0.093110,0.302624,
5,470,480000,1058,0.087682,0.093236,0.302624,
5,480,490000,1076,0.087953,0.093378,0.302624,
5,490,500000,1098,0.088261,0.093508,0.302624,
5,500,510000,1117,0.088605,0.093674,0.302624,
5,510,520000,1145,0.088907,0.093808,0.302624,
5,520,530000,1166,0.089192,0.093959,0.302624,
5,530,540000,1186,0.089522,0.094115,0.302624,
5,540,550000,1205,0.089812,0.094229,0.302624,
5,550,560000,1229,0.090111,0.094338,0.302624,
5,560,570000,1251,0.090351,0.094450,0.302624,
5,570,580000,1271,0.090591,0.094549,0.302624,
5,580,590000,1292,0.090853,0.094677,0.302624,
5,590,600000,1313,0.091178,0.094812,0.302624,
5,600,610000,1336,0.091490,0.094951,0.302624,
5,610,620000,1358,0.091767,0.095043,0.302624,
5,620,630000,1381,0.091998,0.095163,0.302624,
5,630,640000,1402,0.092320,0.095267,0.302624,
5,640,650000,1423,0.092568,0.095374,0.302624,
5,650,660000,1448,0.092916,0.095477,0.302624,
5,660,670000,1473,0.093114,0.095579,0.302624,
5,670,680000,1493,0.093372,0.095705,0.302624,
5,680,690000,1515,0.093599,0.095808,0.302624,
5,690,700000,1542,0.093867,0.095925,0.302624,
5,700,710000,1563,0.094252,0.096031,0.302624,
5,710,720000,1582,0.094515,0.096151,0.302624,
5,720,730000,1603,0.094784,0.096243,0.302624,
5,730,740000,1623,0.095073,0.096342,0.302624,
5,740,750000,1642,0.095406,0.096439,0.302624,
5,750,760000,1666,0.095752,0.096541,0.302624,
5,760,770000,1689,0.096047,0.096647,0.302624,
5,770,780000,1716,0.096330,0.096758,0.302624,
5,780,790000,1739,0.096634,0.096860,0.302624,
5,790,800000,1758,0.096843,0.096954,0.302624,
5,800,810000,1782,0.097152,0.097067,0.302624,
5,810,820000,1807,0.097483,0.097166,0.302624,
5,820,830000,1832,0.097723,0.097277,0.302624,
5,830,840000,1850,0.097965,0.097359,0.302624,
5,840,850000,1870,0.098165,0.097429,0.302624,
5,850,860000,1891,0.098427,0.097519,0.302624,
5,860,870000,1915,0.098708,0.097621,0.302624,
5,870,880000,1935,0.099029,0.097707,0.302624,
5,880,890000,1955,0.099327,0.097781,0.302624,
5,890,900000,1976,0.099541,0.097858,0.302624,
5,900,910000,1999,0.099737,0.097935,0.302624,
5,910,920000,2021,0.099976,0.098038,0.302624,
5,920,930000,2044,0.100177,0.098127,0.302624,
5,930,940000,2066,0.100382,0.098210,0.302624,
5,940,950000,2093,0.100688,0.098303,0.302624,
5,950,960000,2111,0.100917,0.098378,0.302624,
5,960,970000,2130,0.101135,0.098462,0.302624,
5,970,980000,2158,0.101333,0.098536,0.302624,
5,980,990000,2178,0.101556,0.098624,0.302624,
5,990,1000000,2199,0.101882,0.098705,0.302624,
5,1000,1010000,2223,0.102161,0.098775,0.302624,
5,1010,1020000,2245,0.102506,0.098853,0.302624,
5,1020,1030000,2266,0.102733,0.098931,0.302624,
5,1030,1040000,2293,0.103013,0.099009,0.302624,
5,1040,1050000,2316,0.103223,0.099091,0.302624,
5,1050,1060000,2341,0.103535,0.099166,0.302624,
5,1060,1070000,2364,0.103859,0.099237,0.302624,
5,1070,1080000,2386,0.104102,0.099317,0.302624,
5,1080,1090000,2404,0.104375,0.099396,0.302624,
5,1090,1100000,2423,0.104632,0.099447,0.302624,
5,1100,1110000,2442,0.104831,0.099512,0.302624,
5,1110,1120000,2461,0.105052,0.099600,0.302624,
5,1120,1130000,2484,0.105295,0.099679,0.302624,
5,1130,1140000,2506,0.105561,0.099750,0.302624,
5,1140,1150000,2529,0.105783,0.099804,0.302624,
5,1150,1160000,2551,0.105999,0.099881,0.302624,
5,1160,1170000,2575,0.106202,0.099930,0.302624,
5,1170,1180000,2600,0.106489,0.099998,0.302624,
5,1180,1190000,2619,0.106639,0.100063,0.302624,
5,1190,1200000,2637,0.106929,0.100131,0.302624,
5,1200,1210000,2662,0.107227,0.100217,0.302624,
5,1210,1220000,2683,0.107494,0.100274,0.302624,
5,1220,1230000,2701,0.107697,0.100344,0.302624,
5,1230,1240000,2726,0.107988,0.100410,0.302624,
5,1240,1250000,2750,0.108189,0.100471,0.302624,
5,1250,1260000,2778,0.108368,0.100525,0.302624,
5,1260,1270000,2796,0.108639,0.100578,0.302624,
5,1270,1280000,2818,0.108880,0.100644,0.302624,
5,1280,1290000,2839,0.109071,0.100686,0.302624,
5,1290,1300000,2856,0.109367,0.100742,0.302624,
5,1300,1310000,2877,0.109586,0.100805,0.302624,
5,1310,1320000,2903,0.109864,0.100853,0.302624,
5,1320,1330000,2923,0.110141,0.100912,0.302624,
5,1330,1340000,2947,0.110398,0.100961,0.302624,
5,1340,1350000,2967,0.110631,0.101025,0.302624,
5,1350,1360000,2990,0.110898,0.101095,0.302624,
5,1360,1370000,3013,0.111092,0.101146,0.302624,
5,1370,1380000,3036,0.111370,0.101210,0.302624,
5,1380,1390000,3059,0.111685,0.101251,0.302624,
5,1390,1400000,3077,0.111946,0.101300,0.302624,
5,1400,1410000,3097,0.112224,0.101347,0.302624,
5,1410,1420000,3116,0.112441,0.101404,0.302624,
5,1420,1430000,3135,0.112696,0.101454,0.302624,
5,1430,1440000,3166,0.112933,0.101519,0.302624,
5,1440,1450000,3187,0.113201,0.101566,0.302624,
5,1450,1460000,3214,0.113400,0.101624,0.302624,
5,1460,1470000,3238,0.113640,0.101686,0.302624,
5,1470,1480000,3260,0.113867,0.101743,0.302624,
5,1480,1490000,3286,0.114081,0.101786,0.302624,
5,1490,1500000,3307,0.114281,0.101829,0.302624,
5,1500,1510000,3327,0.114548,0.101863,0.302624,
5,1510,1520000,3350,0.114852,0.101897,0.302624,
5,1520,1530000,3370,0.115096,0.101933,0.302624,
5,1530,1540000,3393,0.115258,0.101968,0.302624,
5,1540,1550000,3414,0.115530,0.101999,0.302624,
5,1550,1560000,3438,0.115798,0.102031,0.302624,
5,1560,1570000,3459,0.115986,0.102068,0.302624,
5,1570,1580000,3479,0.116236,0.102114,0.302624,
5,1580,1590000,3499,0.116422,0.102160,0.302624,
5,1590,1600000,3519,0.116705,0.102199,0.302624,
5,1600,1610000,3542,0.116982,0.102234,0.302624,
5,1610,1620000,3564,0.117204,0.102273,0.302624,
5,1620,1630000,3591,0.117398,0.102302,0.302624,
5,1630,1640000,3610,0.117593,0.102357,0.302624,
5,1640,1650000,3627,0.117873,0.102391,0.302624,
5,1650,1660000,3651,0.118136,0.102426,0.302624,
5,1660,1670000,3675,0.118413,0.102455,0.302624,
5,1670,1680000,3700,0.118611,0.102509,0.302624,
5,1680,1690000,3724,0.118845,0.102533,0.302624,
5,1690,1700000,3747,0.119114,0.102554,0.302624,
5,1700,1710000,3773,0.119403,0.102589,0.302624,
5,1710,1720000,3792,0.119615,0.102605,0.302624,
5,1720,1730000,3817,0.119813,0.102655,0.302624,
5,1730,1740000,3839,0.120057,0.102693,0.302624,
5,1740,1750000,3859,0.120278,0.102729,0.302624,
5,1750,1760000,3878,0.120474,0.102770,0.302624,
5,1760,1770000,3898,0.120751,0.102798,0.302624,
5,1770,1780000,3921,0.120964,0.102843,0.302624,
5,1780,1790000,3947,0.121261,0.102866,0.302624,
5,1790,1800000,3971,0.121441,0.102907,0.302624,
5,1800,1810000,3997,0.121601,0.102943,0.302624,
5,1810,1820000,4025,0.121784,0.102989,0.302624,
5,1820,1830000,4050,0.121965,0.103026,0.302624,
5,1830,1840000,4077,0.122212,0.103040,0.302624,
5,1840,1850000,4100,0.122447,0.103064,0.302624,
5,1850,1860000,4122,0.122719,0.103072,0.302624,
5,1860,1870000,4141,0.122991,0.103097,0.302624,
5,1870,1880000,4159,0.123207,0.103140,0.302624,
5,1880,1890000,4177,0.123448,0.103160,0.302624,
5,1890,1900000,4196,0.123684,0.103186,0.302624,
5,1900,1910000,4214,0.123941,0.103197,0.302624,
5,1910,1920000,4238,0.124146,0.103246,0.302624,
5,1920,1930000,4266,0.124392,0.103288,0.302624,
5,1930,1940000,4290,0.124631,0.103336,0.302624,
5,1940,1950000,4310,0.124792,0.103356,0.302624,
5,1950,1960000,4329,0.125034,0.103370,0.302624,
5,1960,1970000,4354,0.125324,0.103383,0.302624,
5,1970,1980000,4373,0.125500,0.103406,0.302624,
5,1980,1990000,4396,0.125778,0.103418,0.302624,
5,1990,2000000,4420,0.126031,0.103435,0.302624,
5,2000,2010000,4445,0.126361,0.103431,0.302624,
5,2010,2020000,4464,0.126619,0.103441,0.302624,
5,2020,2030000,4488,0.126906,0.103455,0.302624,
5,2030,2040000,4513,0.127136,0.103459,0.302624,
5,2040,2050000,4537,0.127360,0.103471,0.302624,
5,2050,2060000,4558,0.127609,0.103487,0.302624,
5,2060,2070000,4585,0.127934,0.103486,0.302624,
5,2070,2080000,4613,0.128170,0.103514,0.302624,
5,2080,2090000,4638,0.128330,0.103535,0.302624,
5,2090,2100000,4661,0.128560,0.103553,0.302624,
5,2100,2110000,4687,0.128810,0.103577,0.322771,
5,2110,2120000,4711,0.129011,0.103594,0.322771,
5,2120,2130000,4732,0.129219,0.103604,0.322771,
5,2130,2140000,4751,0.129496,0.103604,0.322771,
5,2140,2150000,4771,0.129746,0.103625,0.322771,
5,2150,2160000,4793,0.129881,0.103664,0.322771,
5,2160,2170000,4815,0.130127,0.103664,0.322771,
5,2170,2180000,4837,0.130347,0.103664,0.322771,
5,2180,2190000,4860,0.130475,0.103702,0.322771,
5,2190,2200000,4889,0.130655,0.103724,0.322771,
5,2200,2210000,4920,0.130862,0.103737,0.322771,
5,2210,2220000,4947,0.131071,0.103754,0.322771,
5,2220,2230000,4968,0.131332,0.103755,0.322771,
5,2230,2240000,4988,0.131583,0.103758,0.322771,
5,2240,2250000,5009,0.131810,0.103766,0.322771,
5,2250,2260000,5027,0.132032,0.103768,0.322771,
5,2260,2270000,5046,0.132208,0.103795,0.322771,
5,2270,2280000,5067,0.132500,0.103789,0.322771,
5,2280,2290000,5095,0.132717,0.103787,0.322771,
5,2290,2300000,5123,0.132892,0.103793,0.322771,
5,2300,2310000,5147,0.133133,0.103802,0.322771,
5,2310,2320000,5170,0.133330,0.103799,0.322771,
5,2320,2330000,5192,0.133506,0.103821,0.322771,
5,2330,2340000,5217,0.133699,0.103829,0.322771,
5,2340,2350000,5244,0.133924,0.103830,0.322771,
5,2350,2360000,5271,0.134099,0.103846,0.322771,
5,2360,2370000,5291,0.134326,0.103841,0.322771,
5,2370,2380000,5313,0.134547,0.103841,0.322771,
5,2380,2390000,5340,0.134727,0.103851,0.322771,
5,2390,2400000,5359,0.134934,0.103851,0.322771,
5,2400,2410000,5377,0.135141,0.103861,0.322771,
5,2410,2420000,5403,0.135382,0.103852,0.322771,
5,2420,2430000,5424,0.135637,0.103845,0.322771,
5,2430,2440000,5445,0.135822,0.103849,0.322771,
5,2440,2450000,5469,0.136063,0.103832,0.322771,
5,2450,2460000,5495,0.136301,0.103833,0.322771,
5,2460,2470000,5515,0.136568,0.103830,0.322771,
5,2470,2480000,5533,0.136834,0.103818,0.322771,
5,2480,2490000,5553,0.137021,0.103816,0.322771,
5,2490,2500000,5571,0.137287,0.103789,0.322771,
5,2500,2510000,5591,0.137475,0.103786,0.322771,
5,2510,2520000,5612,0.137646,0.103796,0.322771,
5,2520,2530000,5632,0.137816,0.103799,0.322771,
5,2530,2540000,5659,0.137962,0.103812,0.322771,
5,2540,2550000,5680,0.138214,0.103795,0.322771,
5,2550,2560000,5699,0.138386,0.103809,0.322771,
5,2560,2570000,5725,0.138534,0.103839,0.322771,
5,2570,2580000,5747,0.138728,0.103833,0.322771,
5,2580,2590000,5771,0.138918,0.103829,0.322771,
5,2590,2600000,5796,0.139135,0.103813,0.322771,
5,2600,2610000,5821,0.139324,0.103803,0.322771,
5,2610,2620000,5840,0.139537,0.103792,0.322771,
5,2620,2630000,5858,0.139673,0.103819,0.322771,
5,2630,2640000,5877,0.139902,0.103805,0.322771,
5,2640,2650000,5896,0.140059,0.103824,0.322771,
5,2650,2660000,5914,0.140238,0.103832,0.322771,
5,2660,2670000,5935,0.140388,0.103833,0.322771,
5,2670,2680000,5958,0.140618,0.103829,0.322771,
5,2680,2690000,5979,0.140780,0.103840,0.322771,
5,2690,2700000,5997,0.141040,0.103810,0.322771,
5,2700,2710000,6023,0.141202,0.103821,0.322771,
5,2710,2720000,6043,0.141343,0.103836,0.322771,
5,2720,2730000,6060,0.141652,0.103778,0.322771,
5,2730,2740000,6085,0.141952,0.103747,0.322771,
5,2740,2750000,6113,0.142199,0.103717,0.322771,
5,2750,2760000,6136,0.142320,0.103734,0.322771,
5,2760,2770000,6158,0.142604,0.103702,0.322771,
5,2770,2780000,6182,0.142891,0.103648,0.322771,
5,2780,2790000,6202,0.143120,0.103619,0.322771,
5,2790,2800000,6229,0.143319,0.103611,0.322771,
5,2800,2810000,6254,0.143502,0.103587,0.322771,
5,2810,2820000,6272,0.143707,0.103574,0.322771,
5,2820,2830000,6296,0.143887,0.103570,0.322771,
5,2830,2840000,6318,0.144088,0.103554,0.322771,
5,2840,2850000,6337,0.144326,0.103525,0.322771,
5,2850,2860000,6356,0.144562,0.103497,0.322771,
5,2860,2870000,6376,0.144839,0.103453,0.322771,
5,2870,2880000,6400,0.145034,0.103430,0.322771,
5,2880,2890000,6418,0.145186,0.103429,0.322771,
5,2890,2900000,6440,0.145334,0.103429,0.322771,
5,2900,2910000,6467,0.145513,0.103414,0.322771,
5,2910,2920000,6488,0.145696,0.103386,0.322771,
5,2920,2930000,6513,0.145881,0.103375,0.322771,
5,2930,2940000,6532,0.146140,0.103327,0.322771,
5,2940,2950000,6553,0.146398,0.103274,0.322771,
5,2950,2960000,6573,0.146535,0.103289,0.322771,
5,2960,2970000,6593,0.146730,0.103269,0.322771,
5,2970,2980000,6615,0.146931,0.103255,0.322771,
5,2980,2990000,6633,0.147204,0.103202,0.322771,
5,2990,3000000,6656,0.147351,0.103202,0.322771,
5,3000,3010000,6676,0.147620,0.103153,0.322771,
5,3010,3020000,6697,0.147806,0.103139,0.322771,
5,3020,3030000,6715,0.147947,0.103148,0.322771,
5,3030,3040000,6735,0.148172,0.103142,0.322771,
5,3040,3050000,6759,0.148345,0.103137,0.322771,
5,3050,3060000,6778,0.148646,0.103083,0.322771,
5,3060,3070000,6798,0.148854,0.103066,0.322771,
5,3070,3080000,6818,0.148987,0.103068,0.322771,
