trial_no,generation,evaluations_num,elapsed_secs,mean,stdev,best_fit,
1,0,10000,17,0.117888,0.136854,0.386038,
1,10,20000,43,0.118449,0.137178,0.396540,
1,20,30000,67,0.118944,0.137461,0.401755,
1,30,40000,91,0.119473,0.137803,0.401755,
1,40,50000,117,0.119961,0.138137,0.401755,
1,50,60000,138,0.120516,0.138476,0.401755,
1,60,70000,161,0.121025,0.138838,0.411584,
1,70,80000,183,0.121614,0.139171,0.411584,
1,80,90000,206,0.122170,0.139499,0.411584,
1,90,100000,225,0.122679,0.139838,0.411584,
1,100,110000,244,0.123172,0.140133,0.411584,
1,110,120000,264,0.123696,0.140478,0.411584,
1,120,130000,283,0.124242,0.140809,0.411584,
1,130,140000,307,0.124723,0.141102,0.411584,
1,140,150000,327,0.125201,0.141402,0.411584,
1,150,160000,349,0.125716,0.141706,0.411584,
1,160,170000,368,0.126274,0.142008,0.411584,
1,170,180000,390,0.126735,0.142248,0.411584,
1,180,190000,413,0.127312,0.142546,0.421791,
1,190,200000,438,0.127809,0.142793,0.421791,
1,200,210000,462,0.128307,0.143079,0.421791,
1,210,220000,479,0.128780,0.143315,0.421791,
1,220,230000,502,0.129247,0.143569,0.421791,
1,230,240000,529,0.129714,0.143770,0.421791,
1,240,250000,551,0.130155,0.143978,0.421791,
1,250,260000,570,0.130590,0.144251,0.421791,
1,260,270000,591,0.131082,0.144494,0.421791,
1,270,280000,614,0.131517,0.144722,0.421791,
1,280,290000,632,0.132019,0.145016,0.423349,
1,290,300000,651,0.132564,0.145285,0.423349,
1,300,310000,671,0.133148,0.145545,0.423349,
1,310,320000,694,0.133709,0.145828,0.495529,
1,320,330000,714,0.134178,0.146033,0.495529,
1,330,340000,734,0.134614,0.146280,0.495529,
1,340,350000,760,0.135124,0.146548,0.495529,
1,350,360000,787,0.135708,0.146806,0.495529,
1,360,370000,814,0.136225,0.147064,0.495529,
1,370,380000,841,0.136736,0.147303,0.495529,
1,380,390000,862,0.137159,0.147478,0.495529,
1,390,400000,886,0.137616,0.147710,0.495529,
1,400,410000,910,0.138011,0.147928,0.495529,
1,410,420000,932,0.138411,0.148143,0.495529,
1,420,430000,953,0.138838,0.148336,0.495529,
1,430,440000,975,0.139298,0.148561,0.495529,
1,440,450000,995,0.139733,0.148765,0.495529,
1,450,460000,1014,0.140304,0.149020,0.495529,
1,460,470000,1035,0.140724,0.149197,0.495529,
1,470,480000,1057,0.141192,0.149385,0.495529,
1,480,490000,1075,0.141749,0.149615,0.495529,
1,490,500000,1096,0.142166,0.149823,0.495529,
1,500,510000,1116,0.142592,0.149998,0.495529,
1,510,520000,1138,0.143066,0.150166,0.495529,
1,520,530000,1159,0.143534,0.150334,0.495529,
1,530,540000,1182,0.144008,0.150528,0.495529,
1,540,550000,1209,0.144420,0.150691,0.495529,
1,550,560000,1229,0.144950,0.150894,0.495529,
1,560,570000,1253,0.145347,0.151049,0.495529,
1,570,580000,1276,0.145852,0.151239,0.495529,
1,580,590000,1298,0.146247,0.151402,0.495529,
1,590,600000,1319,0.146767,0.151597,0.495529,
1,600,610000,1343,0.147174,0.151778,0.495529,
1,610,620000,1368,0.147628,0.151941,0.495529,
1,620,630000,1391,0.147985,0.152096,0.495529,
1,630,640000,1414,0.148485,0.152272,0.495529,
1,640,650000,1438,0.148903,0.152431,0.495529,
1,650,660000,1461,0.149328,0.152574,0.495529,
1,660,670000,1489,0.149687,0.152742,0.495529,
1,670,680000,1507,0.150257,0.152930,0.495529,
1,680,690000,1528,0.150719,0.153093,0.495529,
1,690,700000,1551,0.151037,0.153228,0.495529,
1,700,710000,1578,0.151423,0.153395,0.495529,
1,710,720000,1604,0.151811,0.153557,0.495529,
1,720,730000,1628,0.152364,0.153734,0.495529,
1,730,740000,1650,0.152789,0.153891,0.495529,
1,740,750000,1674,0.153249,0.154046,0.495529,
1,750,760000,1697,0.153689,0.154166,0.495529,
1,760,770000,1721,0.154172,0.154306,0.495529,
1,770,780000,1742,0.154638,0.154485,0.495529,
1,780,790000,1767,0.155053,0.154656,0.495529,
1,790,800000,1787,0.155456,0.154819,0.495529,
1,800,810000,1809,0.155888,0.154972,0.495529,
1,810,820000,1830,0.156267,0.155098,0.495529,
1,820,830000,1851,0.156649,0.155276,0.495529,
1,830,840000,1874,0.157009,0.155422,0.495529,
1,840,850000,1897,0.157545,0.155580,0.495529,
1,850,860000,1921,0.157998,0.155735,0.495529,
1,860,870000,1945,0.158351,0.155858,0.495529,
1,870,880000,1967,0.158708,0.155977,0.495529,
1,880,890000,1992,0.159116,0.156115,0.495529,
1,890,900000,2013,0.159596,0.156217,0.495529,
1,900,910000,2034,0.160046,0.156374,0.495529,
1,910,920000,2057,0.160482,0.156502,0.495529,
1,920,930000,2077,0.160981,0.156669,0.495529,
1,930,940000,2101,0.161453,0.156818,0.495529,
1,940,950000,2122,0.161784,0.156975,0.495529,
1,950,960000,2142,0.162149,0.157100,0.495529,
1,960,970000,2162,0.162546,0.157237,0.495529,
1,970,980000,2187,0.162885,0.157358,0.495529,
1,980,990000,2207,0.163298,0.157506,0.495529,
1,990,1000000,2226,0.163518,0.157575,0.495529,
1,1000,1010000,2247,0.163973,0.157707,0.495529,
1,1010,1020000,2265,0.164396,0.157846,0.495529,
1,1020,1030000,2286,0.164725,0.157948,0.495529,
1,1030,1040000,2312,0.165263,0.158064,0.495529,
1,1040,1050000,2337,0.165697,0.158161,0.495529,
1,1050,1060000,2365,0.166086,0.158279,0.495529,
1,1060,1070000,2394,0.166490,0.158406,0.495529,
1,1070,1080000,2418,0.166950,0.158533,0.495529,
1,1080,1090000,2440,0.167352,0.158658,0.495529,
1,1090,1100000,2459,0.167746,0.158766,0.495529,
1,1100,1110000,2483,0.168155,0.158886,0.507378,
1,1110,1120000,2503,0.168517,0.159009,0.507378,
1,1120,1130000,2521,0.168969,0.159134,0.507378,
1,1130,1140000,2541,0.169258,0.159227,0.507378,
1,1140,1150000,2561,0.169562,0.159317,0.507378,
1,1150,1160000,2581,0.169910,0.159406,0.507378,
1,1160,1170000,2605,0.170324,0.159485,0.507378,
1,1170,1180000,2630,0.170633,0.159584,0.507378,
1,1180,1190000,2652,0.170968,0.159681,0.507378,
1,1190,1200000,2670,0.171361,0.159762,0.507378,
1,1200,1210000,2688,0.171800,0.159853,0.507378,
1,1210,1220000,2714,0.172214,0.159942,0.507378,
1,1220,1230000,2741,0.172538,0.160048,0.507378,
1,1230,1240000,2765,0.172931,0.160181,0.507378,
1,1240,1250000,2785,0.173377,0.160237,0.507378,
1,1250,1260000,2809,0.173759,0.160347,0.507378,
1,1260,1270000,2827,0.174165,0.160463,0.507378,
1,1270,1280000,2846,0.174613,0.160547,0.507378,
1,1280,1290000,2868,0.174972,0.160655,0.507378,
1,1290,1300000,2892,0.175361,0.160745,0.507378,
1,1300,1310000,2913,0.175768,0.160823,0.507378,
1,1310,1320000,2931,0.176171,0.160911,0.507378,
1,1320,1330000,2949,0.176665,0.161021,0.507378,
1,1330,1340000,2967,0.177169,0.161131,0.507378,
1,1340,1350000,2989,0.177544,0.161222,0.507378,
1,1350,1360000,3014,0.177940,0.161339,0.507378,
1,1360,1370000,3040,0.178387,0.161406,0.507378,
1,1370,1380000,3065,0.178847,0.161461,0.507378,
1,1380,1390000,3089,0.179224,0.161549,0.507378,
1,1390,1400000,3114,0.179503,0.161618,0.507378,
1,1400,1410000,3139,0.179905,0.161708,0.507378,
1,1410,1420000,3159,0.180380,0.161780,0.507378,
1,1420,1430000,3179,0.180801,0.161913,0.508756,
1,1430,1440000,3204,0.181298,0.162002,0.508756,
1,1440,1450000,3222,0.181666,0.162043,0.508756,
1,1450,1460000,3243,0.182069,0.162127,0.508756,
1,1460,1470000,3264,0.182552,0.162193,0.508756,
1,1470,1480000,3291,0.182978,0.162297,0.508756,
1,1480,1490000,3313,0.183396,0.162352,0.508756,
1,1490,1500000,3336,0.183831,0.162449,0.508756,
1,1500,1510000,3360,0.184189,0.162523,0.510553,
1,1510,1520000,3384,0.184601,0.162614,0.517108,
1,1520,1530000,3405,0.184961,0.162647,0.517108,
1,1530,1540000,3424,0.185276,0.162729,0.518384,
1,1540,1550000,3442,0.185703,0.162798,0.518384,
1,1550,1560000,3464,0.186054,0.162867,0.518384,
1,1560,1570000,3487,0.186462,0.162935,0.518384,
1,1570,1580000,3511,0.186933,0.162992,0.518384,
1,1580,1590000,3532,0.187210,0.163079,0.518384,
1,1590,1600000,3555,0.187556,0.163148,0.518384,
1,1600,1610000,3573,0.187966,0.163207,0.518384,
1,1610,1620000,3596,0.188335,0.163255,0.518384,
1,1620,1630000,3623,0.188863,0.163274,0.518384,
1,1630,1640000,3642,0.189265,0.163339,0.518384,
1,1640,1650000,3663,0.189685,0.163389,0.518384,
1,1650,1660000,3687,0.190049,0.163430,0.518384,
1,1660,1670000,3711,0.190533,0.163438,0.518384,
1,1670,1680000,3735,0.191095,0.163499,0.518384,
1,1680,1690000,3760,0.191498,0.163559,0.518384,
1,1690,1700000,3781,0.191943,0.163608,0.518384,
1,1700,1710000,3801,0.192403,0.163609,0.518384,
1,1710,1720000,3828,0.192611,0.163651,0.518384,
1,1720,1730000,3855,0.193012,0.163702,0.518384,
1,1730,1740000,3875,0.193383,0.163710,0.518384,
1,1740,1750000,3896,0.193707,0.163755,0.518384,
1,1750,1760000,3922,0.194146,0.163787,0.518384,
1,1760,1770000,3943,0.194544,0.163816,0.518384,
1,1770,1780000,3966,0.194959,0.163854,0.518384,
1,1780,1790000,3990,0.195404,0.163889,0.518384,
1,1790,1800000,4013,0.195786,0.163936,0.518384,
1,1800,1810000,4033,0.196061,0.163984,0.518384,
1,1810,1820000,4055,0.196368,0.164006,0.518384,
1,1820,1830000,4079,0.196573,0.164033,0.518384,
1,1830,1840000,4100,0.196822,0.164080,0.518384,
1,1840,1850000,4119,0.197190,0.164182,0.518384,
1,1850,1860000,4140,0.197647,0.164220,0.518384,
1,1860,1870000,4165,0.198031,0.164250,0.518384,
1,1870,1880000,4184,0.198496,0.164273,0.518384,
1,1880,1890000,4211,0.198885,0.164303,0.518384,
1,1890,1900000,4234,0.199200,0.164349,0.518384,
1,1900,1910000,4253,0.199660,0.164368,0.518384,
1,1910,1920000,4271,0.200104,0.164396,0.518384,
1,1920,1930000,4297,0.200407,0.164453,0.518384,
1,1930,1940000,4316,0.200952,0.164445,0.518384,
1,1940,1950000,4334,0.201340,0.164442,0.518384,
1,1950,1960000,4356,0.201703,0.164471,0.518384,
1,1960,1970000,4376,0.202172,0.164466,0.518384,
1,1970,1980000,4398,0.202601,0.164507,0.518384,
1,1980,1990000,4419,0.202878,0.164576,0.518384,
1,1990,2000000,4438,0.203159,0.164628,0.518384,
1,2000,2010000,4460,0.203571,0.164616,0.518384,
1,2010,2020000,4484,0.203824,0.164658,0.518384,
1,2020,2030000,4509,0.204114,0.164690,0.518384,
