trial_no,generation,evaluations_num,elapsed_secs,mean,stdev,best_fit,
8,0,10000,18,0.070285,0.090030,0.264326,
8,10,20000,42,0.070665,0.090306,0.267967,
8,20,30000,65,0.070940,0.090538,0.267967,
8,30,40000,86,0.071208,0.090745,0.267967,
8,40,50000,106,0.071607,0.091010,0.267967,
8,50,60000,126,0.071918,0.091227,0.267967,
8,60,70000,147,0.072318,0.091511,0.267967,
8,70,80000,168,0.072659,0.091757,0.267967,
8,80,90000,196,0.073005,0.092010,0.276121,
8,90,100000,219,0.073265,0.092222,0.276121,
8,100,110000,247,0.073675,0.092483,0.276121,
8,110,120000,269,0.074008,0.092715,0.276121,
8,120,130000,289,0.074374,0.092971,0.276121,
8,130,140000,313,0.074748,0.093231,0.276121,
8,140,150000,335,0.075072,0.093443,0.276121,
8,150,160000,359,0.075385,0.093675,0.276121,
8,160,170000,377,0.075781,0.093913,0.276121,
8,170,180000,399,0.076095,0.094147,0.276121,
8,180,190000,420,0.076463,0.094391,0.276121,
8,190,200000,439,0.076844,0.094624,0.276121,
8,200,210000,464,0.077157,0.094832,0.276121,
8,210,220000,487,0.077506,0.095047,0.276121,
8,220,230000,507,0.077835,0.095240,0.276121,
8,230,240000,531,0.078175,0.095457,0.276121,
8,240,250000,550,0.078588,0.095680,0.276121,
8,250,260000,569,0.078907,0.095876,0.276121,
8,260,270000,593,0.079298,0.096082,0.276121,
8,270,280000,616,0.079586,0.096272,0.276121,
8,280,290000,636,0.079860,0.096463,0.276121,
8,290,300000,658,0.080278,0.096668,0.276121,
8,300,310000,684,0.080661,0.096877,0.276121,
8,310,320000,705,0.081018,0.097084,0.276121,
8,320,330000,724,0.081388,0.097290,0.276121,
8,330,340000,747,0.081716,0.097464,0.276121,
8,340,350000,773,0.082044,0.097646,0.276121,
8,350,360000,793,0.082403,0.097846,0.276121,
8,360,370000,811,0.082744,0.098036,0.276121,
8,370,380000,839,0.082993,0.098185,0.276121,
8,380,390000,861,0.083342,0.098385,0.276121,
8,390,400000,886,0.083704,0.098585,0.276121,
8,400,410000,906,0.083993,0.098755,0.276121,
8,410,420000,926,0.084322,0.098926,0.276121,
8,420,430000,948,0.084593,0.099097,0.276121,
8,430,440000,966,0.084940,0.099279,0.276121,
8,440,450000,988,0.085233,0.099444,0.276121,
8,450,460000,1010,0.085540,0.099595,0.276121,
8,460,470000,1032,0.085878,0.099774,0.276121,
8,470,480000,1051,0.086245,0.099958,0.276121,
8,480,490000,1071,0.086559,0.100133,0.276121,
8,490,500000,1095,0.086871,0.100302,0.276121,
8,500,510000,1115,0.087185,0.100443,0.276121,
8,510,520000,1133,0.087561,0.100609,0.276121,
8,520,530000,1156,0.087768,0.100745,0.276121,
8,530,540000,1179,0.088092,0.100915,0.276121,
8,540,550000,1202,0.088472,0.101077,0.276121,
8,550,560000,1223,0.088776,0.101206,0.276121,
8,560,570000,1242,0.089132,0.101394,0.276121,
8,570,580000,1266,0.089410,0.101541,0.276121,
8,580,590000,1287,0.089661,0.101657,0.276121,
8,590,600000,1308,0.089918,0.101803,0.276121,
8,600,610000,1332,0.090235,0.101947,0.276121,
8,610,620000,1358,0.090552,0.102090,0.276121,
8,620,630000,1378,0.090861,0.102235,0.276121,
8,630,640000,1397,0.091249,0.102373,0.276121,
8,640,650000,1427,0.091597,0.102515,0.276121,
8,650,660000,1452,0.091946,0.102652,0.276121,
8,660,670000,1477,0.092276,0.102775,0.278826,
8,670,680000,1500,0.092579,0.102901,0.278826,
8,680,690000,1526,0.092833,0.103035,0.278826,
8,690,700000,1549,0.093185,0.103173,0.278826,
8,700,710000,1574,0.093420,0.103302,0.278826,
8,710,720000,1593,0.093762,0.103443,0.278826,
8,720,730000,1614,0.094036,0.103575,0.278826,
8,730,740000,1637,0.094350,0.103710,0.278826,
8,740,750000,1661,0.094719,0.103852,0.278826,
8,750,760000,1683,0.095038,0.103994,0.278826,
8,760,770000,1704,0.095294,0.104120,0.278826,
8,770,780000,1724,0.095624,0.104247,0.278826,
8,780,790000,1743,0.096029,0.104408,0.278826,
8,790,800000,1766,0.096287,0.104542,0.278826,
8,800,810000,1786,0.096561,0.104668,0.278826,
8,810,820000,1810,0.096836,0.104770,0.278826,
8,820,830000,1834,0.097165,0.104898,0.278826,
8,830,840000,1859,0.097449,0.105011,0.278826,
8,840,850000,1880,0.097712,0.105131,0.278826,
8,850,860000,1902,0.097998,0.105242,0.278826,
8,860,870000,1921,0.098357,0.105369,0.278826,
8,870,880000,1945,0.098612,0.105492,0.278826,
8,880,890000,1967,0.098895,0.105598,0.278826,
8,890,900000,1990,0.099194,0.105723,0.280387,
8,900,910000,2010,0.099434,0.105825,0.280387,
8,910,920000,2030,0.099705,0.105926,0.280387,
8,920,930000,2052,0.099897,0.106013,0.280387,
8,930,940000,2073,0.100160,0.106138,0.280387,
8,940,950000,2097,0.100524,0.106243,0.280387,
8,950,960000,2124,0.100781,0.106364,0.280387,
8,960,970000,2143,0.101067,0.106479,0.280512,
8,970,980000,2163,0.101385,0.106594,0.280512,
8,980,990000,2183,0.101697,0.106709,0.280512,
8,990,1000000,2204,0.101957,0.106812,0.280512,
8,1000,1010000,2226,0.102285,0.106911,0.280512,
8,1010,1020000,2254,0.102560,0.107021,0.280512,
8,1020,1030000,2275,0.102867,0.107115,0.280512,
8,1030,1040000,2297,0.103182,0.107212,0.280512,
8,1040,1050000,2320,0.103585,0.107315,0.280512,
8,1050,1060000,2341,0.103899,0.107411,0.280512,
8,1060,1070000,2361,0.104217,0.107514,0.280512,
8,1070,1080000,2381,0.104501,0.107608,0.280512,
8,1080,1090000,2404,0.104846,0.107707,0.280512,
8,1090,1100000,2431,0.105134,0.107798,0.280512,
8,1100,1110000,2454,0.105397,0.107900,0.283214,
8,1110,1120000,2475,0.105706,0.107993,0.283214,
8,1120,1130000,2498,0.106064,0.108086,0.283214,
8,1130,1140000,2517,0.106353,0.108177,0.283214,
8,1140,1150000,2535,0.106629,0.108263,0.283214,
8,1150,1160000,2557,0.106834,0.108338,0.283214,
8,1160,1170000,2579,0.107149,0.108426,0.283214,
8,1170,1180000,2605,0.107457,0.108520,0.283214,
8,1180,1190000,2624,0.107632,0.108603,0.292932,
8,1190,1200000,2644,0.107974,0.108679,0.292932,
8,1200,1210000,2667,0.108174,0.108749,0.292932,
8,1210,1220000,2687,0.108403,0.108835,0.292932,
8,1220,1230000,2712,0.108600,0.108912,0.292932,
8,1230,1240000,2734,0.108923,0.109001,0.292932,
8,1240,1250000,2761,0.109149,0.109078,0.292932,
8,1250,1260000,2785,0.109441,0.109147,0.292932,
8,1260,1270000,2805,0.109728,0.109236,0.292932,
8,1270,1280000,2830,0.110037,0.109308,0.292932,
8,1280,1290000,2853,0.110370,0.109394,0.292932,
8,1290,1300000,2874,0.110713,0.109471,0.292932,
8,1300,1310000,2896,0.110919,0.109563,0.292932,
8,1310,1320000,2914,0.111137,0.109642,0.292932,
8,1320,1330000,2935,0.111453,0.109711,0.292932,
8,1330,1340000,2958,0.111785,0.109790,0.292932,
8,1340,1350000,2976,0.112033,0.109845,0.292932,
8,1350,1360000,2994,0.112341,0.109910,0.292932,
8,1360,1370000,3019,0.112709,0.109972,0.292932,
8,1370,1380000,3041,0.113002,0.110040,0.292932,
8,1380,1390000,3061,0.113254,0.110118,0.292932,
8,1390,1400000,3083,0.113583,0.110186,0.292932,
8,1400,1410000,3105,0.113864,0.110269,0.292932,
8,1410,1420000,3132,0.114180,0.110320,0.292932,
8,1420,1430000,3154,0.114455,0.110396,0.292932,
8,1430,1440000,3173,0.114774,0.110446,0.292932,
8,1440,1450000,3194,0.115016,0.110512,0.292932,
8,1450,1460000,3214,0.115250,0.110578,0.292932,
8,1460,1470000,3235,0.115516,0.110649,0.292932,
8,1470,1480000,3256,0.115762,0.110727,0.292932,
8,1480,1490000,3281,0.116000,0.110799,0.292932,
8,1490,1500000,3301,0.116287,0.110859,0.292932,
8,1500,1510000,3320,0.116499,0.110925,0.292932,
8,1510,1520000,3343,0.116736,0.110994,0.292932,
8,1520,1530000,3361,0.117022,0.111059,0.292932,
8,1530,1540000,3384,0.117216,0.111134,0.292932,
8,1540,1550000,3402,0.117429,0.111193,0.292932,
8,1550,1560000,3420,0.117709,0.111234,0.292932,
8,1560,1570000,3442,0.117946,0.111283,0.292932,
8,1570,1580000,3466,0.118183,0.111334,0.292932,
8,1580,1590000,3486,0.118489,0.111379,0.292932,
8,1590,1600000,3506,0.118790,0.111426,0.292932,
8,1600,1610000,3528,0.118973,0.111490,0.292932,
8,1610,1620000,3550,0.119308,0.111543,0.292932,
8,1620,1630000,3571,0.119625,0.111600,0.292932,
8,1630,1640000,3590,0.119876,0.111641,0.292932,
8,1640,1650000,3611,0.120139,0.111707,0.292932,
8,1650,1660000,3631,0.120380,0.111742,0.292932,
8,1660,1670000,3652,0.120664,0.111795,0.292932,
8,1670,1680000,3674,0.120974,0.111839,0.292932,
8,1680,1690000,3694,0.121213,0.111887,0.292932,
8,1690,1700000,3714,0.121475,0.111941,0.292932,
8,1700,1710000,3739,0.121800,0.111992,0.292932,
8,1710,1720000,3760,0.122111,0.112028,0.292932,
8,1720,1730000,3778,0.122364,0.112072,0.292932,
8,1730,1740000,3798,0.122669,0.112130,0.293686,
8,1740,1750000,3820,0.122941,0.112191,0.293686,
8,1750,1760000,3841,0.123246,0.112223,0.293686,
8,1760,1770000,3865,0.123558,0.112266,0.293686,
8,1770,1780000,3884,0.123731,0.112330,0.293686,
8,1780,1790000,3902,0.123974,0.112361,0.293686,
8,1790,1800000,3920,0.124194,0.112403,0.293686,
8,1800,1810000,3940,0.124527,0.112426,0.293686,
8,1810,1820000,3959,0.124739,0.112464,0.293686,
8,1820,1830000,3978,0.125044,0.112511,0.293686,
8,1830,1840000,4001,0.125269,0.112556,0.293686,
8,1840,1850000,4024,0.125468,0.112586,0.293686,
8,1850,1860000,4044,0.125752,0.112621,0.293686,
8,1860,1870000,4069,0.126033,0.112667,0.293686,
8,1870,1880000,4092,0.126340,0.112686,0.293686,
8,1880,1890000,4116,0.126538,0.112730,0.293686,
8,1890,1900000,4134,0.126781,0.112760,0.293686,
8,1900,1910000,4159,0.126961,0.112788,0.293686,
8,1910,1920000,4178,0.127121,0.112816,0.293686,
8,1920,1930000,4196,0.127465,0.112830,0.293686,
8,1930,1940000,4215,0.127722,0.112858,0.293686,
8,1940,1950000,4233,0.127997,0.112887,0.293686,
8,1950,1960000,4251,0.128309,0.112917,0.293686,
8,1960,1970000,4268,0.128577,0.112972,0.293686,
8,1970,1980000,4287,0.128872,0.112988,0.293686,
8,1980,1990000,4305,0.129211,0.113003,0.293686,
8,1990,2000000,4329,0.129410,0.113026,0.293686,
8,2000,2010000,4352,0.129621,0.113064,0.293686,
8,2010,2020000,4377,0.129867,0.113090,0.293686,
8,2020,2030000,4401,0.130272,0.113092,0.293686,
8,2030,2040000,4421,0.130498,0.113112,0.293686,
8,2040,2050000,4443,0.130707,0.113151,0.293686,
8,2050,2060000,4465,0.130947,0.113193,0.293686,
8,2060,2070000,4483,0.131216,0.113213,0.293686,
8,2070,2080000,4503,0.131488,0.113239,0.293686,
8,2080,2090000,4524,0.131711,0.113276,0.293686,
8,2090,2100000,4543,0.131931,0.113321,0.293686,
8,2100,2110000,4569,0.132209,0.113338,0.293686,
8,2110,2120000,4587,0.132391,0.113360,0.293686,
8,2120,2130000,4614,0.132586,0.113404,0.293686,
8,2130,2140000,4636,0.132884,0.113424,0.293686,
8,2140,2150000,4657,0.133179,0.113431,0.293686,
8,2150,2160000,4680,0.133390,0.113467,0.293686,
8,2160,2170000,4703,0.133583,0.113492,0.293686,
8,2170,2180000,4720,0.133918,0.113495,0.293686,
8,2180,2190000,4745,0.134127,0.113519,0.293686,
8,2190,2200000,4769,0.134378,0.113540,0.293686,
8,2200,2210000,4791,0.134550,0.113553,0.293686,
8,2210,2220000,4812,0.134817,0.113565,0.293686,
8,2220,2230000,4831,0.135094,0.113590,0.293686,
8,2230,2240000,4856,0.135346,0.113612,0.293686,
8,2240,2250000,4875,0.135596,0.113622,0.293686,
8,2250,2260000,4897,0.135902,0.113622,0.293686,
8,2260,2270000,4915,0.136175,0.113652,0.293686,
8,2270,2280000,4934,0.136424,0.113658,0.293686,
8,2280,2290000,4955,0.136688,0.113664,0.293686,
8,2290,2300000,4977,0.136910,0.113674,0.293686,
8,2300,2310000,4996,0.137169,0.113681,0.293686,
8,2310,2320000,5021,0.137350,0.113697,0.293686,
8,2320,2330000,5039,0.137546,0.113697,0.293686,
8,2330,2340000,5060,0.137787,0.113699,0.293686,
8,2340,2350000,5085,0.138088,0.113699,0.293686,
8,2350,2360000,5104,0.138403,0.113702,0.293686,
8,2360,2370000,5126,0.138647,0.113724,0.293686,
8,2370,2380000,5147,0.138877,0.113726,0.293686,
8,2380,2390000,5170,0.139062,0.113748,0.293686,
8,2390,2400000,5195,0.139281,0.113761,0.293686,
8,2400,2410000,5218,0.139475,0.113764,0.293686,
8,2410,2420000,5238,0.139757,0.113760,0.293686,
8,2420,2430000,5258,0.139964,0.113779,0.293686,
8,2430,2440000,5283,0.140178,0.113802,0.293686,
8,2440,2450000,5309,0.140402,0.113801,0.293686,
8,2450,2460000,5336,0.140685,0.113798,0.293686,
8,2460,2470000,5360,0.141020,0.113778,0.293686,
8,2470,2480000,5389,0.141226,0.113803,0.293686,
8,2480,2490000,5407,0.141430,0.113807,0.293686,
8,2490,2500000,5426,0.141578,0.113824,0.293686,
8,2500,2510000,5446,0.141810,0.113816,0.293686,
8,2510,2520000,5473,0.142030,0.113824,0.293686,
8,2520,2530000,5491,0.142260,0.113824,0.293686,
8,2530,2540000,5509,0.142511,0.113815,0.293686,
8,2540,2550000,5531,0.142745,0.113826,0.293686,
8,2550,2560000,5550,0.142881,0.113844,0.293686,
8,2560,2570000,5573,0.143167,0.113817,0.293686,
8,2570,2580000,5601,0.143377,0.113824,0.293686,
8,2580,2590000,5625,0.143631,0.113823,0.293686,
8,2590,2600000,5653,0.143843,0.113813,0.293686,
8,2600,2610000,5679,0.144096,0.113808,0.293686,
8,2610,2620000,5700,0.144301,0.113814,0.293686,
8,2620,2630000,5718,0.144506,0.113807,0.293686,
8,2630,2640000,5736,0.144786,0.113801,0.293686,
8,2640,2650000,5757,0.145010,0.113809,0.293686,
8,2650,2660000,5783,0.145235,0.113802,0.293686,
8,2660,2670000,5805,0.145508,0.113779,0.293686,
8,2670,2680000,5824,0.145765,0.113756,0.293686,
8,2680,2690000,5845,0.145973,0.113752,0.293686,
8,2690,2700000,5867,0.146309,0.113711,0.293686,
8,2700,2710000,5891,0.146441,0.113719,0.293686,
8,2710,2720000,5911,0.146691,0.113696,0.293686,
8,2720,2730000,5930,0.146874,0.113715,0.320898,
8,2730,2740000,5953,0.147089,0.113707,0.320898,
8,2740,2750000,5972,0.147364,0.113680,0.320898,
8,2750,2760000,5991,0.147595,0.113665,0.320898,
8,2760,2770000,6011,0.147845,0.113644,0.320898,
8,2770,2780000,6034,0.148060,0.113643,0.320898,
8,2780,2790000,6054,0.148264,0.113659,0.320898,
8,2790,2800000,6080,0.148501,0.113643,0.320898,
8,2800,2810000,6106,0.148697,0.113632,0.320898,
8,2810,2820000,6134,0.148912,0.113602,0.320898,
8,2820,2830000,6159,0.149120,0.113588,0.320898,
8,2830,2840000,6177,0.149352,0.113570,0.320898,
8,2840,2850000,6202,0.149537,0.113567,0.320898,
8,2850,2860000,6223,0.149716,0.113565,0.320898,
8,2860,2870000,6245,0.149849,0.113586,0.320898,
8,2870,2880000,6265,0.150063,0.113581,0.320898,
8,2880,2890000,6285,0.150316,0.113562,0.320898,
8,2890,2900000,6307,0.150540,0.113552,0.320898,
8,2900,2910000,6330,0.150768,0.113542,0.320898,
8,2910,2920000,6352,0.150948,0.113522,0.320898,
8,2920,2930000,6374,0.151223,0.113496,0.320898,
8,2930,2940000,6393,0.151411,0.113483,0.320898,
8,2940,2950000,6412,0.151680,0.113449,0.320898,
8,2950,2960000,6433,0.151826,0.113444,0.320898,
8,2960,2970000,6462,0.151993,0.113451,0.320898,
8,2970,2980000,6489,0.152178,0.113440,0.320898,
8,2980,2990000,6522,0.152351,0.113433,0.320898,
8,2990,3000000,6542,0.152615,0.113412,0.320898,
8,3000,3010000,6568,0.152833,0.113394,0.320898,
8,3010,3020000,6593,0.153052,0.113376,0.320898,
8,3020,3030000,6619,0.153256,0.113361,0.320898,
8,3030,3040000,6642,0.153472,0.113342,0.320898,
8,3040,3050000,6666,0.153658,0.113342,0.320898,
8,3050,3060000,6693,0.153752,0.113360,0.320898,
8,3060,3070000,6718,0.153927,0.113341,0.320898,
8,3070,3080000,6739,0.154130,0.113330,0.320898,
8,3080,3090000,6766,0.154435,0.113272,0.320898,
8,3090,3100000,6789,0.154639,0.113254,0.320898,
8,3100,3110000,6815,0.154768,0.113274,0.320898,
8,3110,3120000,6837,0.154946,0.113270,0.320898,
8,3120,3130000,6861,0.155143,0.113253,0.320898,
8,3130,3140000,6883,0.155278,0.113258,0.320898,
8,3140,3150000,6906,0.155379,0.113264,0.320898,
8,3150,3160000,6926,0.155563,0.113262,0.320898,
8,3160,3170000,6954,0.155795,0.113232,0.320898,
8,3170,3180000,6975,0.156063,0.113199,0.320898,
8,3180,3190000,6997,0.156285,0.113161,0.320898,
8,3190,3200000,7017,0.156423,0.113161,0.320898,
8,3200,3210000,7037,0.156586,0.113153,0.320898,
8,3210,3220000,7057,0.156769,0.113143,0.320898,
8,3220,3230000,7079,0.156922,0.113146,0.320898,
8,3230,3240000,7102,0.157094,0.113134,0.320898,
8,3240,3250000,7124,0.157256,0.113127,0.320898,
8,3250,3260000,7148,0.157437,0.113115,0.320898,
8,3260,3270000,7174,0.157564,0.113119,0.320898,
8,3270,3280000,7202,0.157657,0.113136,0.320898,
8,3280,3290000,7224,0.157923,0.113103,0.320898,
8,3290,3300000,7246,0.158183,0.113070,0.320898,
8,3300,3310000,7270,0.158335,0.113059,0.320898,
8,3310,3320000,7293,0.158587,0.113019,0.320898,
8,3320,3330000,7314,0.158797,0.112995,0.320898,
8,3330,3340000,7336,0.158979,0.112973,0.320898,
8,3340,3350000,7364,0.159106,0.112962,0.320898,
8,3350,3360000,7383,0.159322,0.112922,0.320898,
8,3360,3370000,7406,0.159554,0.112900,0.320898,
8,3370,3380000,7427,0.159743,0.112874,0.320898,
8,3380,3390000,7449,0.160098,0.112770,0.320898,
8,3390,3400000,7474,0.160248,0.112771,0.320898,
8,3400,3410000,7497,0.160399,0.112763,0.320898,
8,3410,3420000,7527,0.160596,0.112752,0.320898,
8,3420,3430000,7553,0.160757,0.112743,0.320898,
8,3430,3440000,7579,0.160932,0.112720,0.320898,
8,3440,3450000,7600,0.161104,0.112703,0.320898,
8,3450,3460000,7621,0.161235,0.112704,0.320898,
8,3460,3470000,7641,0.161516,0.112651,0.320898,
8,3470,3480000,7662,0.161711,0.112616,0.320898,
8,3480,3490000,7685,0.161937,0.112589,0.320898,
8,3490,3500000,7708,0.162056,0.112579,0.320898,
8,3500,3510000,7732,0.162247,0.112554,0.320898,
8,3510,3520000,7757,0.162475,0.112508,0.320898,
8,3520,3530000,7781,0.162620,0.112501,0.320898,
8,3530,3540000,7803,0.162840,0.112465,0.320898,
8,3540,3550000,7825,0.163067,0.112423,0.320898,
8,3550,3560000,7846,0.163342,0.112367,0.320898,
8,3560,3570000,7865,0.163496,0.112366,0.320898,
8,3570,3580000,7893,0.163676,0.112350,0.320898,
8,3580,3590000,7915,0.163915,0.112307,0.320898,
8,3590,3600000,7942,0.164091,0.112284,0.320898,
8,3600,3610000,7962,0.164321,0.112232,0.320898,
8,3610,3620000,7984,0.164503,0.112185,0.320898,
8,3620,3630000,8007,0.164665,0.112149,0.320898,
8,3630,3640000,8033,0.164843,0.112121,0.320898,
8,3640,3650000,8054,0.164957,0.112105,0.320898,
8,3650,3660000,8077,0.165175,0.112067,0.320898,
8,3660,3670000,8098,0.165374,0.112037,0.320898,
8,3670,3680000,8121,0.165552,0.112004,0.320898,
8,3680,3690000,8143,0.165717,0.111976,0.320898,
8,3690,3700000,8170,0.165901,0.111946,0.320898,
8,3700,3710000,8190,0.165984,0.111957,0.320898,
