trial_no,generation,evaluations_num,elapsed_secs,mean,stdev,best_fit,
9,0,10000,17,0.082106,0.096828,0.260388,
9,10,20000,41,0.082457,0.097032,0.262153,
9,20,30000,60,0.082837,0.097243,0.271570,
9,30,40000,78,0.083218,0.097449,0.286050,
9,40,50000,104,0.083489,0.097612,0.286050,
9,50,60000,125,0.083860,0.097834,0.286050,
9,60,70000,144,0.084237,0.098053,0.286050,
9,70,80000,166,0.084599,0.098251,0.286050,
9,80,90000,185,0.084899,0.098438,0.286050,
9,90,100000,209,0.085185,0.098608,0.286050,
9,100,110000,230,0.085473,0.098779,0.286050,
9,110,120000,249,0.085810,0.098972,0.286050,
9,120,130000,269,0.086122,0.099148,0.286050,
9,130,140000,293,0.086356,0.099280,0.286050,
9,140,150000,320,0.086703,0.099453,0.286050,
9,150,160000,340,0.087018,0.099613,0.286050,
9,160,170000,361,0.087423,0.099808,0.286050,
9,170,180000,386,0.087684,0.099969,0.286050,
9,180,190000,405,0.088026,0.100131,0.286050,
9,190,200000,424,0.088365,0.100284,0.286050,
9,200,210000,448,0.088713,0.100453,0.286050,
9,210,220000,465,0.089098,0.100617,0.286050,
9,220,230000,486,0.089363,0.100732,0.286050,
9,230,240000,508,0.089715,0.100894,0.289135,
9,240,250000,536,0.090057,0.101079,0.289135,
9,250,260000,561,0.090369,0.101237,0.289135,
9,260,270000,584,0.090638,0.101375,0.289135,
9,270,280000,605,0.090985,0.101532,0.289135,
9,280,290000,628,0.091321,0.101672,0.289135,
9,290,300000,649,0.091616,0.101828,0.289135,
9,300,310000,666,0.091885,0.101966,0.289135,
9,310,320000,685,0.092169,0.102118,0.289135,
9,320,330000,706,0.092449,0.102240,0.289135,
9,330,340000,725,0.092784,0.102371,0.289135,
9,340,350000,745,0.093086,0.102506,0.289135,
9,350,360000,766,0.093385,0.102653,0.289135,
9,360,370000,789,0.093717,0.102787,0.289135,
9,370,380000,811,0.094003,0.102909,0.292266,
9,380,390000,830,0.094327,0.103040,0.295087,
9,390,400000,848,0.094590,0.103165,0.295087,
9,400,410000,868,0.094878,0.103298,0.295087,
9,410,420000,892,0.095101,0.103390,0.295087,
9,420,430000,915,0.095321,0.103502,0.295087,
9,430,440000,936,0.095566,0.103606,0.295087,
9,440,450000,956,0.095865,0.103742,0.295087,
9,450,460000,982,0.096113,0.103863,0.295087,
9,460,470000,1003,0.096377,0.103996,0.295087,
9,470,480000,1030,0.096712,0.104125,0.295087,
9,480,490000,1053,0.096968,0.104263,0.295087,
9,490,500000,1078,0.097237,0.104379,0.295087,
9,500,510000,1100,0.097540,0.104502,0.295087,
9,510,520000,1124,0.097928,0.104622,0.295087,
9,520,530000,1143,0.098296,0.104769,0.295087,
9,530,540000,1165,0.098612,0.104888,0.295087,
9,540,550000,1185,0.098902,0.105021,0.297641,
9,550,560000,1204,0.099202,0.105147,0.297641,
9,560,570000,1227,0.099585,0.105287,0.297641,
9,570,580000,1254,0.099873,0.105410,0.297641,
9,580,590000,1273,0.100147,0.105520,0.297641,
9,590,600000,1297,0.100519,0.105630,0.297641,
9,600,610000,1318,0.100847,0.105741,0.297641,
9,610,620000,1340,0.101120,0.105851,0.297641,
9,620,630000,1361,0.101459,0.105980,0.297641,
9,630,640000,1384,0.101831,0.106077,0.297641,
9,640,650000,1408,0.102118,0.106176,0.297641,
9,650,660000,1426,0.102456,0.106284,0.297641,
9,660,670000,1448,0.102752,0.106367,0.297641,
9,670,680000,1468,0.103075,0.106480,0.297641,
9,680,690000,1488,0.103335,0.106582,0.297641,
9,690,700000,1510,0.103613,0.106675,0.297641,
9,700,710000,1529,0.103877,0.106793,0.302314,
9,710,720000,1551,0.104151,0.106879,0.302314,
9,720,730000,1573,0.104381,0.106966,0.302314,
9,730,740000,1598,0.104633,0.107068,0.302314,
9,740,750000,1619,0.104884,0.107161,0.302314,
9,750,760000,1640,0.105128,0.107245,0.302314,
9,760,770000,1661,0.105421,0.107338,0.302314,
9,770,780000,1681,0.105771,0.107438,0.302314,
9,780,790000,1702,0.106103,0.107531,0.302314,
9,790,800000,1720,0.106471,0.107627,0.302314,
9,800,810000,1743,0.106749,0.107729,0.302314,
9,810,820000,1766,0.107044,0.107827,0.302314,
9,820,830000,1785,0.107423,0.107927,0.302314,
9,830,840000,1806,0.107761,0.108017,0.302314,
9,840,850000,1828,0.108005,0.108092,0.302314,
9,850,860000,1853,0.108333,0.108182,0.302314,
9,860,870000,1878,0.108587,0.108286,0.302314,
9,870,880000,1903,0.108913,0.108396,0.302314,
9,880,890000,1921,0.109170,0.108479,0.302314,
9,890,900000,1945,0.109471,0.108556,0.302314,
9,900,910000,1973,0.109765,0.108636,0.302314,
9,910,920000,1997,0.110065,0.108754,0.302314,
9,920,930000,2018,0.110348,0.108834,0.302314,
9,930,940000,2039,0.110631,0.108917,0.302314,
9,940,950000,2058,0.110960,0.108991,0.302314,
9,950,960000,2083,0.111254,0.109056,0.302314,
9,960,970000,2104,0.111563,0.109129,0.302314,
9,970,980000,2126,0.111906,0.109208,0.302314,
9,980,990000,2153,0.112113,0.109291,0.302314,
9,990,1000000,2173,0.112400,0.109385,0.302314,
9,1000,1010000,2202,0.112688,0.109452,0.302314,
9,1010,1020000,2225,0.112995,0.109526,0.302314,
9,1020,1030000,2246,0.113351,0.109612,0.302314,
9,1030,1040000,2270,0.113666,0.109671,0.302314,
9,1040,1050000,2292,0.113900,0.109746,0.302314,
9,1050,1060000,2314,0.114216,0.109808,0.302314,
9,1060,1070000,2335,0.114439,0.109853,0.302314,
9,1070,1080000,2356,0.114644,0.109927,0.302314,
9,1080,1090000,2376,0.114875,0.110002,0.302314,
9,1090,1100000,2398,0.115147,0.110066,0.302314,
9,1100,1110000,2419,0.115426,0.110121,0.302314,
9,1110,1120000,2444,0.115766,0.110201,0.302314,
9,1120,1130000,2470,0.116051,0.110276,0.302314,
9,1130,1140000,2491,0.116330,0.110327,0.302314,
9,1140,1150000,2514,0.116533,0.110408,0.302314,
9,1150,1160000,2538,0.116846,0.110484,0.302314,
9,1160,1170000,2565,0.117073,0.110544,0.302314,
9,1170,1180000,2584,0.117343,0.110609,0.302314,
9,1180,1190000,2604,0.117605,0.110682,0.302314,
9,1190,1200000,2627,0.117894,0.110717,0.302314,
9,1200,1210000,2646,0.118185,0.110768,0.302314,
9,1210,1220000,2667,0.118448,0.110821,0.302314,
9,1220,1230000,2688,0.118772,0.110867,0.302314,
9,1230,1240000,2712,0.119058,0.110897,0.302314,
9,1240,1250000,2731,0.119261,0.110960,0.302314,
9,1250,1260000,2752,0.119538,0.111018,0.302314,
9,1260,1270000,2771,0.119779,0.111054,0.302314,
9,1270,1280000,2789,0.120067,0.111116,0.302314,
9,1280,1290000,2808,0.120395,0.111168,0.302314,
9,1290,1300000,2827,0.120642,0.111235,0.308845,
9,1300,1310000,2848,0.120918,0.111287,0.308845,
9,1310,1320000,2872,0.121210,0.111336,0.308845,
9,1320,1330000,2895,0.121451,0.111386,0.308845,
9,1330,1340000,2917,0.121828,0.111428,0.308845,
9,1340,1350000,2941,0.122098,0.111484,0.308845,
9,1350,1360000,2967,0.122446,0.111517,0.308845,
9,1360,1370000,2987,0.122660,0.111571,0.308845,
9,1370,1380000,3008,0.122941,0.111617,0.308845,
9,1380,1390000,3029,0.123172,0.111684,0.312974,
9,1390,1400000,3051,0.123405,0.111761,0.312974,
9,1400,1410000,3070,0.123680,0.111794,0.312974,
9,1410,1420000,3092,0.123942,0.111860,0.312974,
9,1420,1430000,3115,0.124206,0.111896,0.312974,
9,1430,1440000,3136,0.124551,0.111943,0.312974,
9,1440,1450000,3155,0.124836,0.111993,0.312974,
9,1450,1460000,3177,0.125052,0.112012,0.312974,
9,1460,1470000,3201,0.125375,0.112043,0.312974,
9,1470,1480000,3219,0.125743,0.112073,0.312974,
9,1480,1490000,3248,0.126048,0.112109,0.312974,
9,1490,1500000,3271,0.126356,0.112148,0.312974,
9,1500,1510000,3297,0.126701,0.112170,0.312974,
