trial_no,generation,evaluations_num,elapsed_secs,mean,stdev,best_fit,
6,0,10000,17,0.124668,0.140518,0.390237,
6,10,20000,41,0.125019,0.140801,0.390237,
6,20,30000,64,0.125436,0.141060,0.393531,
6,30,40000,86,0.125947,0.141366,0.395282,
6,40,50000,110,0.126374,0.141637,0.401706,
6,50,60000,135,0.126946,0.141954,0.401706,
6,60,70000,158,0.127474,0.142250,0.401706,
6,70,80000,176,0.128007,0.142487,0.401706,
6,80,90000,196,0.128601,0.142789,0.401706,
6,90,100000,220,0.129097,0.143050,0.401706,
6,100,110000,241,0.129572,0.143300,0.401706,
6,110,120000,263,0.129865,0.143494,0.401706,
6,120,130000,283,0.130445,0.143780,0.401706,
6,130,140000,302,0.130939,0.144022,0.401706,
6,140,150000,320,0.131443,0.144259,0.401706,
6,150,160000,344,0.131871,0.144490,0.401706,
6,160,170000,365,0.132340,0.144743,0.401706,
6,170,180000,387,0.132826,0.144987,0.401706,
6,180,190000,407,0.133273,0.145253,0.401706,
6,190,200000,432,0.133825,0.145534,0.401706,
6,200,210000,450,0.134284,0.145768,0.404917,
6,210,220000,473,0.134901,0.146031,0.404917,
6,220,230000,497,0.135338,0.146255,0.404917,
6,230,240000,517,0.135764,0.146463,0.404917,
6,240,250000,537,0.136183,0.146649,0.404917,
6,250,260000,558,0.136718,0.146892,0.404917,
6,260,270000,577,0.137208,0.147125,0.404917,
6,270,280000,595,0.137655,0.147342,0.404917,
6,280,290000,616,0.138161,0.147587,0.404917,
6,290,300000,634,0.138603,0.147786,0.404917,
6,300,310000,660,0.139188,0.148045,0.404917,
6,310,320000,680,0.139596,0.148230,0.404917,
6,320,330000,701,0.140028,0.148394,0.404917,
6,330,340000,726,0.140511,0.148635,0.404917,
6,340,350000,750,0.140993,0.148825,0.404917,
6,350,360000,768,0.141506,0.149029,0.404917,
6,360,370000,788,0.141864,0.149187,0.404917,
6,370,380000,808,0.142281,0.149383,0.404917,
6,380,390000,827,0.142710,0.149577,0.411913,
6,390,400000,851,0.143054,0.149710,0.411913,
6,400,410000,873,0.143528,0.149954,0.411913,
6,410,420000,895,0.143968,0.150158,0.411913,
6,420,430000,914,0.144365,0.150357,0.411913,
6,430,440000,933,0.144918,0.150570,0.411913,
6,440,450000,952,0.145364,0.150745,0.411913,
6,450,460000,972,0.145855,0.150939,0.411913,
6,460,470000,992,0.146312,0.151140,0.411913,
6,470,480000,1019,0.146672,0.151321,0.411913,
6,480,490000,1038,0.147097,0.151496,0.411913,
6,490,500000,1059,0.147492,0.151668,0.411913,
6,500,510000,1082,0.147857,0.151804,0.411913,
6,510,520000,1105,0.148246,0.151966,0.411913,
6,520,530000,1123,0.148712,0.152128,0.411913,
6,530,540000,1142,0.149169,0.152299,0.411913,
6,540,550000,1164,0.149489,0.152443,0.411913,
6,550,560000,1188,0.150052,0.152626,0.411913,
6,560,570000,1212,0.150600,0.152829,0.411913,
6,570,580000,1233,0.150961,0.152987,0.411913,
6,580,590000,1251,0.151428,0.153172,0.411913,
6,590,600000,1270,0.151938,0.153338,0.411913,
6,600,610000,1288,0.152409,0.153472,0.411913,
6,610,620000,1309,0.152855,0.153621,0.411913,
6,620,630000,1332,0.153233,0.153769,0.414189,
6,630,640000,1353,0.153647,0.153952,0.414189,
6,640,650000,1378,0.154073,0.154093,0.414189,
6,650,660000,1401,0.154547,0.154280,0.428883,
6,660,670000,1420,0.154992,0.154437,0.428883,
6,670,680000,1443,0.155475,0.154616,0.428883,
6,680,690000,1464,0.156032,0.154804,0.428883,
6,690,700000,1485,0.156365,0.154995,0.428883,
6,700,710000,1508,0.156813,0.155147,0.428883,
6,710,720000,1527,0.157318,0.155279,0.428883,
6,720,730000,1550,0.157702,0.155419,0.428883,
6,730,740000,1571,0.158161,0.155535,0.428883,
6,740,750000,1592,0.158585,0.155704,0.428883,
6,750,760000,1613,0.159066,0.155824,0.428883,
6,760,770000,1634,0.159436,0.155957,0.428883,
6,770,780000,1654,0.159868,0.156090,0.428883,
6,780,790000,1676,0.160321,0.156206,0.428883,
6,790,800000,1694,0.160755,0.156325,0.428883,
6,800,810000,1718,0.161174,0.156464,0.428883,
6,810,820000,1742,0.161576,0.156603,0.428883,
6,820,830000,1761,0.161995,0.156748,0.428883,
6,830,840000,1784,0.162446,0.156874,0.428883,
6,840,850000,1803,0.162829,0.157004,0.428883,
6,850,860000,1824,0.163164,0.157136,0.428883,
6,860,870000,1845,0.163585,0.157282,0.428883,
6,870,880000,1867,0.164094,0.157438,0.428883,
6,880,890000,1886,0.164584,0.157581,0.428883,
6,890,900000,1904,0.164966,0.157683,0.428883,
6,900,910000,1930,0.165460,0.157801,0.428883,
6,910,920000,1954,0.165870,0.157935,0.428883,
6,920,930000,1984,0.166346,0.158085,0.428883,
6,930,940000,2009,0.166844,0.158213,0.428883,
6,940,950000,2035,0.167149,0.158285,0.428883,
6,950,960000,2058,0.167582,0.158371,0.428883,
6,960,970000,2076,0.167861,0.158456,0.428883,
6,970,980000,2098,0.168120,0.158571,0.428883,
6,980,990000,2118,0.168442,0.158662,0.428883,
6,990,1000000,2144,0.168822,0.158784,0.428883,
6,1000,1010000,2168,0.169180,0.158873,0.428883,
6,1010,1020000,2186,0.169683,0.158993,0.428883,
6,1020,1030000,2205,0.170248,0.159120,0.428883,
6,1030,1040000,2227,0.170668,0.159201,0.428883,
6,1040,1050000,2248,0.171083,0.159318,0.428883,
6,1050,1060000,2267,0.171550,0.159420,0.428883,
6,1060,1070000,2291,0.171982,0.159515,0.428883,
6,1070,1080000,2311,0.172380,0.159618,0.428883,
6,1080,1090000,2330,0.172720,0.159729,0.428883,
6,1090,1100000,2351,0.173019,0.159839,0.428883,
6,1100,1110000,2370,0.173366,0.159902,0.428883,
6,1110,1120000,2390,0.173848,0.159989,0.428883,
6,1120,1130000,2411,0.174228,0.160093,0.428883,
6,1130,1140000,2430,0.174622,0.160194,0.428883,
6,1140,1150000,2449,0.174939,0.160255,0.428883,
6,1150,1160000,2467,0.175301,0.160350,0.428883,
6,1160,1170000,2487,0.175709,0.160428,0.428883,
6,1170,1180000,2505,0.176108,0.160539,0.428883,
6,1180,1190000,2532,0.176452,0.160633,0.428883,
6,1190,1200000,2558,0.176849,0.160713,0.428883,
6,1200,1210000,2581,0.177160,0.160774,0.428883,
6,1210,1220000,2602,0.177532,0.160836,0.428883,
6,1220,1230000,2621,0.177926,0.160911,0.428883,
6,1230,1240000,2647,0.178284,0.160969,0.428883,
6,1240,1250000,2669,0.178750,0.161016,0.428883,
6,1250,1260000,2694,0.179169,0.161061,0.428883,
6,1260,1270000,2711,0.179634,0.161136,0.428883,
6,1270,1280000,2731,0.180110,0.161208,0.428883,
6,1280,1290000,2753,0.180367,0.161294,0.428883,
6,1290,1300000,2772,0.180711,0.161353,0.428883,
6,1300,1310000,2798,0.181041,0.161430,0.428883,
6,1310,1320000,2817,0.181439,0.161507,0.428883,
6,1320,1330000,2839,0.181783,0.161588,0.428883,
6,1330,1340000,2864,0.182201,0.161691,0.428883,
6,1340,1350000,2887,0.182685,0.161724,0.428883,
6,1350,1360000,2908,0.182914,0.161790,0.428883,
6,1360,1370000,2930,0.183343,0.161858,0.428883,
6,1370,1380000,2949,0.183810,0.161926,0.428883,
6,1380,1390000,2971,0.184184,0.162002,0.444654,
6,1390,1400000,2994,0.184523,0.162066,0.444654,
6,1400,1410000,3017,0.184852,0.162141,0.444654,
6,1410,1420000,3036,0.185199,0.162203,0.444654,
6,1420,1430000,3058,0.185681,0.162230,0.444654,
6,1430,1440000,3080,0.186111,0.162294,0.444654,
6,1440,1450000,3101,0.186538,0.162333,0.444654,
6,1450,1460000,3124,0.186887,0.162391,0.444654,
6,1460,1470000,3149,0.187248,0.162418,0.444654,
6,1470,1480000,3171,0.187563,0.162478,0.444654,
6,1480,1490000,3193,0.187920,0.162523,0.444654,
6,1490,1500000,3217,0.188276,0.162574,0.444654,
6,1500,1510000,3237,0.188623,0.162644,0.444654,
6,1510,1520000,3255,0.188950,0.162712,0.444654,
6,1520,1530000,3274,0.189260,0.162779,0.444654,
6,1530,1540000,3293,0.189608,0.162823,0.444654,
6,1540,1550000,3313,0.189964,0.162871,0.444654,
6,1550,1560000,3337,0.190380,0.162906,0.444654,
6,1560,1570000,3355,0.190743,0.162972,0.444654,
6,1570,1580000,3377,0.191170,0.163050,0.444654,
6,1580,1590000,3402,0.191562,0.163089,0.444654,
6,1590,1600000,3424,0.191912,0.163121,0.444654,
6,1600,1610000,3453,0.192299,0.163142,0.444654,
6,1610,1620000,3476,0.192638,0.163179,0.444654,
6,1620,1630000,3499,0.193024,0.163245,0.444654,
6,1630,1640000,3523,0.193261,0.163292,0.444654,
6,1640,1650000,3545,0.193611,0.163332,0.444654,
6,1650,1660000,3569,0.194035,0.163327,0.444654,
6,1660,1670000,3587,0.194426,0.163354,0.444654,
6,1670,1680000,3608,0.194849,0.163401,0.444654,
6,1680,1690000,3631,0.195137,0.163431,0.444654,
6,1690,1700000,3649,0.195502,0.163452,0.444654,
6,1700,1710000,3670,0.195836,0.163489,0.444654,
6,1710,1720000,3692,0.196234,0.163532,0.444654,
6,1720,1730000,3714,0.196627,0.163548,0.444654,
6,1730,1740000,3734,0.197045,0.163568,0.444654,
6,1740,1750000,3753,0.197514,0.163579,0.444654,
6,1750,1760000,3775,0.197824,0.163642,0.444654,
6,1760,1770000,3801,0.198110,0.163659,0.444654,
6,1770,1780000,3820,0.198606,0.163674,0.444654,
6,1780,1790000,3838,0.198905,0.163712,0.444654,
6,1790,1800000,3857,0.199416,0.163728,0.444654,
6,1800,1810000,3884,0.199686,0.163734,0.444654,
6,1810,1820000,3910,0.200080,0.163787,0.444654,
6,1820,1830000,3931,0.200380,0.163814,0.444654,
6,1830,1840000,3953,0.200755,0.163814,0.444654,
6,1840,1850000,3973,0.201152,0.163849,0.444654,
6,1850,1860000,3993,0.201450,0.163862,0.444654,
6,1860,1870000,4014,0.201894,0.163857,0.444654,
6,1870,1880000,4042,0.202319,0.163869,0.444654,
6,1880,1890000,4064,0.202779,0.163887,0.444654,
6,1890,1900000,4085,0.203190,0.163882,0.444654,
6,1900,1910000,4108,0.203589,0.163889,0.444654,
6,1910,1920000,4135,0.203956,0.163915,0.444654,
6,1920,1930000,4155,0.204255,0.163960,0.444654,
6,1930,1940000,4179,0.204669,0.163984,0.444654,
6,1940,1950000,4199,0.205127,0.163986,0.444654,
6,1950,1960000,4220,0.205465,0.163998,0.444654,
6,1960,1970000,4252,0.205740,0.164003,0.444654,
6,1970,1980000,4276,0.206204,0.164030,0.444654,
6,1980,1990000,4300,0.206606,0.164057,0.444654,
6,1990,2000000,4326,0.206981,0.164034,0.444654,
6,2000,2010000,4354,0.207298,0.164050,0.444654,
6,2010,2020000,4382,0.207625,0.164059,0.444654,
6,2020,2030000,4409,0.207935,0.164096,0.444654,
6,2030,2040000,4439,0.208206,0.164106,0.444654,
6,2040,2050000,4469,0.208570,0.164118,0.444654,
6,2050,2060000,4490,0.208801,0.164143,0.444654,
6,2060,2070000,4513,0.209102,0.164178,0.444654,
6,2070,2080000,4534,0.209409,0.164192,0.444654,
6,2080,2090000,4553,0.209712,0.164209,0.444654,
6,2090,2100000,4578,0.210038,0.164211,0.444654,
6,2100,2110000,4604,0.210393,0.164233,0.444654,
6,2110,2120000,4629,0.210769,0.164257,0.444654,
6,2120,2130000,4647,0.210981,0.164275,0.444654,
6,2130,2140000,4668,0.211260,0.164300,0.444654,
6,2140,2150000,4697,0.211669,0.164279,0.444654,
6,2150,2160000,4718,0.211954,0.164316,0.444654,
6,2160,2170000,4745,0.212262,0.164368,0.444654,
6,2170,2180000,4771,0.212563,0.164384,0.444654,
6,2180,2190000,4796,0.212955,0.164352,0.444654,
6,2190,2200000,4819,0.213288,0.164356,0.444654,
6,2200,2210000,4845,0.213732,0.164340,0.444654,
6,2210,2220000,4866,0.214068,0.164384,0.444654,
6,2220,2230000,4885,0.214330,0.164426,0.444654,
6,2230,2240000,4913,0.214606,0.164446,0.444654,
6,2240,2250000,4932,0.214977,0.164429,0.444654,
6,2250,2260000,4960,0.215295,0.164443,0.444654,
6,2260,2270000,4982,0.215698,0.164393,0.444654,
6,2270,2280000,5006,0.215944,0.164407,0.444654,
6,2280,2290000,5031,0.216397,0.164396,0.444654,
6,2290,2300000,5050,0.216701,0.164407,0.444654,
6,2300,2310000,5070,0.217023,0.164373,0.444654,
6,2310,2320000,5090,0.217308,0.164382,0.444654,
6,2320,2330000,5113,0.217572,0.164377,0.444654,
6,2330,2340000,5139,0.217862,0.164382,0.444654,
6,2340,2350000,5166,0.218139,0.164361,0.444654,
6,2350,2360000,5185,0.218515,0.164359,0.444654,
6,2360,2370000,5206,0.218841,0.164341,0.444654,
